 
Rerun routine. 
hhwk_pww_dif     26.25748143     -0.24584982
hhwk_pwn_difhpww     64.48136031     -0.47081130
shwk      1.18688565     -0.00645786
wlfp_dif     -0.06982743      0.71916705
hlfp      0.01973968     -0.49625391
wagegap_hw_withn     -0.00046001      0.01071313
hdj      0.02684328     -0.24477596
hdo     -0.13013568      0.11559653
d_jobjob_all_psid      1.93209613     -0.55005774
d_jobjob_hwithin_psid      1.41667450     -0.40246950
d_jobjob_hw_actual     -1.69646769      0.30050924
scity_dif     -0.02358595      0.11281959
sdo_dif     -0.22093944      0.09721867
wdo_dif     -0.04773348      0.01410903
abs_hdo_wdo     -0.01276809      0.01373947
betacom_w      0.01519016     -0.02365534
betalfp_w      0.00409605     -1.67536617
betahrs_w      0.38092895     -0.64118471
betahrs0_w      3.09717865     -0.54773910
betahwk_w     -1.64705819      0.14321918
betacom     -0.29022400      0.13117305
betalfp      0.00168519     -0.09479239
betahrs     13.79489083     -0.35920111
betahrs0     18.44895852     -0.52805594
betahwk     -3.33074755      0.05589418
betalwg_w      0.00021999     -0.01147930
sdj_dif     -0.03088098      0.14498828
shouseexp     -0.00488785      0.15456748
scity      0.05996556     -0.41005663
sjobscity     -0.11020016      0.57332842
p_gradient     -0.00192282      0.03958964
p_gradient_simple     -0.02767299      0.69069862
snmarried     -0.00001376      0.00020532
L     -0.01361617      0.00259382
clmm      0.04126590     -1.30494221
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6584908501
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
